,date,time,airport,passage,throughput
0,2018-12-30,04:00:00,MSO,Main,190
1,2018-12-30,05:00:00,MSO,Main,261
2,2018-12-30,06:00:00,MSO,Main,17
3,2018-12-30,07:00:00,MSO,Main,122
4,2018-12-30,08:00:00,MSO,Main,61
5,2018-12-30,09:00:00,MSO,Main,84
6,2018-12-30,10:00:00,MSO,Main,8
7,2018-12-30,11:00:00,MSO,Main,36
8,2018-12-30,12:00:00,MSO,Main,135
9,2018-12-30,13:00:00,MSO,Main,293
10,2018-12-30,14:00:00,MSO,Main,126
11,2018-12-30,15:00:00,MSO,Main,62
12,2018-12-30,16:00:00,MSO,Main,49
13,2018-12-30,17:00:00,MSO,Main,121
14,2018-12-30,18:00:00,MSO,Main,59
15,2018-12-30,19:00:00,MSO,Main,12
16,2018-12-31,04:00:00,MSO,Main,167
17,2018-12-31,05:00:00,MSO,Main,231
18,2018-12-31,06:00:00,MSO,Main,46
19,2018-12-31,07:00:00,MSO,Main,0
20,2018-12-31,08:00:00,MSO,Main,100
21,2018-12-31,09:00:00,MSO,Main,150
22,2018-12-31,10:00:00,MSO,Main,14
23,2018-12-31,11:00:00,MSO,Main,28
24,2018-12-31,12:00:00,MSO,Main,112
25,2018-12-31,13:00:00,MSO,Main,199
26,2018-12-31,14:00:00,MSO,Main,163
27,2018-12-31,15:00:00,MSO,Main,55
28,2018-12-31,16:00:00,MSO,Main,31
29,2018-12-31,17:00:00,MSO,Main,49
30,2018-12-31,18:00:00,MSO,Main,40
31,2018-12-31,19:00:00,MSO,Main,16
32,2019-01-01,04:00:00,MSO,Main,105
33,2019-01-01,05:00:00,MSO,Main,205
34,2019-01-01,06:00:00,MSO,Main,47
35,2019-01-01,07:00:00,MSO,Main,84
36,2019-01-01,08:00:00,MSO,Main,9
37,2019-01-01,09:00:00,MSO,Main,56
38,2019-01-01,10:00:00,MSO,Main,2
39,2019-01-01,11:00:00,MSO,Main,22
40,2019-01-01,12:00:00,MSO,Main,123
41,2019-01-01,13:00:00,MSO,Main,171
42,2019-01-01,14:00:00,MSO,Main,93
43,2019-01-01,15:00:00,MSO,Main,77
44,2019-01-01,16:00:00,MSO,Main,100
45,2019-01-01,17:00:00,MSO,Main,134
46,2019-01-01,18:00:00,MSO,Main,58
47,2019-01-02,04:00:00,MSO,Main,190
48,2019-01-02,05:00:00,MSO,Main,194
49,2019-01-02,06:00:00,MSO,Main,38
50,2019-01-02,07:00:00,MSO,Main,0
51,2019-01-02,08:00:00,MSO,Main,16
52,2019-01-02,09:00:00,MSO,Main,222
53,2019-01-02,10:00:00,MSO,Main,27
54,2019-01-02,11:00:00,MSO,Main,25
55,2019-01-02,12:00:00,MSO,Main,165
56,2019-01-02,13:00:00,MSO,Main,181
57,2019-01-02,14:00:00,MSO,Main,152
58,2019-01-02,15:00:00,MSO,Main,82
59,2019-01-02,16:00:00,MSO,Main,39
60,2019-01-02,17:00:00,MSO,Main,111
61,2019-01-02,18:00:00,MSO,Main,57
62,2019-01-02,19:00:00,MSO,Main,11
63,2019-01-03,04:00:00,MSO,Main,282
64,2019-01-03,05:00:00,MSO,Main,147
65,2019-01-03,06:00:00,MSO,Main,14
66,2019-01-03,07:00:00,MSO,Main,86
67,2019-01-03,08:00:00,MSO,Main,93
68,2019-01-03,09:00:00,MSO,Main,110
69,2019-01-03,10:00:00,MSO,Main,8
70,2019-01-03,11:00:00,MSO,Main,19
71,2019-01-03,12:00:00,MSO,Main,134
72,2019-01-03,13:00:00,MSO,Main,190
73,2019-01-03,14:00:00,MSO,Main,58
74,2019-01-03,15:00:00,MSO,Main,56
75,2019-01-03,16:00:00,MSO,Main,34
76,2019-01-03,17:00:00,MSO,Main,71
77,2019-01-03,18:00:00,MSO,Main,61
78,2019-01-03,19:00:00,MSO,Main,10
79,2019-01-04,04:00:00,MSO,Main,210
80,2019-01-04,05:00:00,MSO,Main,227
81,2019-01-04,06:00:00,MSO,Main,18
82,2019-01-04,07:00:00,MSO,Main,2
83,2019-01-04,08:00:00,MSO,Main,33
84,2019-01-04,09:00:00,MSO,Main,192
85,2019-01-04,10:00:00,MSO,Main,40
86,2019-01-04,11:00:00,MSO,Main,42
87,2019-01-04,12:00:00,MSO,Main,75
88,2019-01-04,13:00:00,MSO,Main,232
89,2019-01-04,14:00:00,MSO,Main,116
90,2019-01-04,15:00:00,MSO,Main,31
91,2019-01-04,16:00:00,MSO,Main,34
92,2019-01-04,17:00:00,MSO,Main,109
93,2019-01-04,18:00:00,MSO,Main,46
94,2019-01-04,19:00:00,MSO,Main,8
95,2019-01-05,04:00:00,MSO,Main,214
96,2019-01-05,05:00:00,MSO,Main,251
97,2019-01-05,06:00:00,MSO,Main,19
98,2019-01-05,08:00:00,MSO,Main,11
99,2019-01-05,09:00:00,MSO,Main,115
100,2019-01-05,10:00:00,MSO,Main,6
101,2019-01-05,11:00:00,MSO,Main,11
102,2019-01-05,12:00:00,MSO,Main,87
103,2019-01-05,13:00:00,MSO,Main,159
104,2019-01-05,14:00:00,MSO,Main,137
105,2019-01-05,15:00:00,MSO,Main,46
106,2019-01-05,16:00:00,MSO,Main,43
107,2019-01-05,17:00:00,MSO,Main,57
108,2019-01-05,18:00:00,MSO,Main,71
109,2019-01-05,19:00:00,MSO,Main,5
110,2019-01-06,04:00:00,MSO,Main,90
111,2019-01-06,05:00:00,MSO,Main,230
112,2019-01-06,06:00:00,MSO,Main,22
113,2019-01-06,07:00:00,MSO,Main,94
114,2019-01-06,08:00:00,MSO,Main,97
115,2019-01-06,09:00:00,MSO,Main,82
116,2019-01-06,10:00:00,MSO,Main,9
117,2019-01-06,11:00:00,MSO,Main,28
118,2019-01-06,12:00:00,MSO,Main,132
119,2019-01-06,13:00:00,MSO,Main,158
120,2019-01-06,14:00:00,MSO,Main,78
121,2019-01-06,15:00:00,MSO,Main,58
122,2019-01-06,16:00:00,MSO,Main,56
123,2019-01-06,17:00:00,MSO,Main,65
124,2019-01-06,18:00:00,MSO,Main,48
125,2019-01-06,19:00:00,MSO,Main,16
126,2019-01-07,04:00:00,MSO,Main,186
127,2019-01-07,05:00:00,MSO,Main,219
128,2019-01-07,06:00:00,MSO,Main,19
129,2019-01-07,07:00:00,MSO,Main,0
130,2019-01-07,08:00:00,MSO,Main,0
131,2019-01-07,09:00:00,MSO,Main,23
132,2019-01-07,10:00:00,MSO,Main,68
133,2019-01-07,11:00:00,MSO,Main,58
134,2019-01-07,12:00:00,MSO,Main,178
135,2019-01-07,13:00:00,MSO,Main,122
136,2019-01-07,14:00:00,MSO,Main,44
137,2019-01-07,15:00:00,MSO,Main,23
138,2019-01-07,16:00:00,MSO,Main,59
139,2019-01-07,17:00:00,MSO,Main,24
140,2019-01-07,18:00:00,MSO,Main,25
141,2019-01-07,19:00:00,MSO,Main,9
142,2019-01-08,04:00:00,MSO,Main,207
143,2019-01-08,05:00:00,MSO,Main,215
144,2019-01-08,06:00:00,MSO,Main,8
145,2019-01-08,07:00:00,MSO,Main,7
146,2019-01-08,08:00:00,MSO,Main,6
147,2019-01-08,09:00:00,MSO,Main,18
148,2019-01-08,10:00:00,MSO,Main,54
149,2019-01-08,11:00:00,MSO,Main,43
150,2019-01-08,12:00:00,MSO,Main,90
151,2019-01-08,13:00:00,MSO,Main,132
152,2019-01-08,14:00:00,MSO,Main,36
